record_id,date,route_id,vessel_type_id,port_id,distance_nm,freight_rate_usd,transit_delay_days,trade_volume_tons,ghg_emission_tons,period_status
116,2024-07-17,2,1,104,11789,4626,12,24592,31166.5,During-Disruption
117,2025-10-17,3,1,102,6296,3011,8,52171,17526.0,Post-Disruption
118,2023-04-06,2,2,104,11883,4670,15,43788,30578.5,Pre-Disruption
119,2024-04-29,4,1,104,1465,1706,1,28913,4705.5,During-Disruption
120,2023-08-19,1,1,101,8497,2225,4,74148,22466.5,Pre-Disruption
121,2025-01-18,2,1,103,11723,4621,14,48655,30303.5,Post-Disruption
122,2024-06-24,1,3,103,8619,2265,5,47509,23129.5,During-Disruption
123,2025-11-25,2,4,104,11873,4413,14,53537,30516.5,Post-Disruption
124,2024-06-08,1,4,104,8644,2812,7,37433,22139.0,During-Disruption
125,2024-07-31,1,3,102,8513,2699,5,58674,23065.5,During-Disruption
126,2024-11-12,2,2,103,11965,4000,13,28241,31572.5,During-Disruption
127,2024-07-10,2,1,101,11922,4581,15,78170,30620.0,During-Disruption
128,2025-10-09,1,4,101,8634,2861,5,59356,22544.0,Post-Disruption
129,2024-10-07,2,2,104,11809,4458,12,77468,30755.5,During-Disruption
130,2025-03-06,2,2,102,11712,4368,13,72839,31211.0,Post-Disruption
131,2025-11-17,1,2,102,8524,2341,5,75585,23016.0,Post-Disruption
132,2023-07-09,2,3,103,11866,4013,14,81700,30411.0,Pre-Disruption
133,2024-09-24,3,1,104,6152,3367,6,20475,16932.0,During-Disruption
134,2024-09-19,2,1,104,11885,4530,15,45113,31545.5,During-Disruption
135,2025-08-30,1,2,102,8675,2609,4,56012,22365.5,Post-Disruption
136,2024-12-10,1,4,101,8409,2349,5,83610,22922.5,During-Disruption
137,2024-10-10,2,2,101,11846,4332,14,80865,30392.0,During-Disruption
138,2023-11-14,4,1,103,1517,1673,4,30970,5591.5,During-Disruption
139,2024-11-14,2,1,104,11717,4437,15,16669,31108.5,During-Disruption
140,2024-10-25,1,3,104,8625,2582,5,56108,23213.5,During-Disruption
141,2024-03-17,2,3,101,11811,4350,12,67729,30333.5,During-Disruption
142,2024-07-17,3,2,104,6171,3165,8,72476,17023.5,During-Disruption
143,2025-08-09,1,1,104,8543,2856,4,17306,22229.5,Post-Disruption
144,2024-11-29,4,4,102,1503,2244,1,49067,4982.5,During-Disruption
145,2023-04-23,4,2,103,1614,2004,4,22228,4968.0,Pre-Disruption
146,2023-01-02,1,3,103,8476,2622,4,58679,22775.0,Pre-Disruption
147,2024-10-03,4,1,103,1425,2259,1,37674,5129.5,During-Disruption
148,2023-08-08,1,1,102,8629,2278,7,52705,23465.5,Pre-Disruption
149,2025-05-04,3,4,103,6292,3208,9,70109,17090.0,Post-Disruption
150,2024-01-20,2,1,103,11802,4032,12,35975,30527.0,During-Disruption
151,2025-12-12,2,2,101,11904,4427,15,38150,30953.0,Post-Disruption
152,2024-12-30,2,1,101,11959,4689,14,71880,31091.5,During-Disruption
153,2023-09-04,3,3,103,6332,3234,8,65591,16390.0,Pre-Disruption
154,2025-04-15,1,1,102,8450,2654,4,27418,22107.0,Post-Disruption
155,2023-07-22,2,1,102,11830,4411,13,61307,31278.0,Pre-Disruption
156,2023-05-03,1,4,102,8465,2669,7,68139,21683.5,Pre-Disruption
157,2024-02-05,1,2,104,8601,2714,5,50492,22516.5,During-Disruption
158,2025-02-05,1,1,104,8683,2764,7,55556,22957.5,Post-Disruption
159,2023-10-21,2,1,102,11999,4120,15,84523,31212.5,Pre-Disruption
160,2023-10-07,1,4,101,8545,2349,4,31955,22883.5,Pre-Disruption
161,2025-06-02,1,1,104,8657,2352,6,80259,22974.5,Post-Disruption
162,2023-07-17,1,2,102,8503,2846,5,24808,22514.5,Pre-Disruption
163,2025-09-08,1,1,104,8550,2455,6,52417,22557.0,Post-Disruption
164,2025-01-21,2,4,104,11817,4573,14,16686,30899.5,Post-Disruption
165,2023-05-24,4,3,104,1598,1662,2,72768,5488.0,Pre-Disruption
166,2024-08-31,1,2,104,8678,2492,7,34016,22767.0,During-Disruption
167,2023-07-06,4,1,102,1504,1667,2,17586,5632.0,Pre-Disruption
168,2024-04-08,3,4,104,6109,3124,8,41344,16444.5,During-Disruption
169,2024-10-21,2,1,103,11812,4648,13,65800,30253.0,During-Disruption
170,2025-02-02,2,4,102,11726,4453,12,31257,30351.0,Post-Disruption
171,2025-08-12,3,1,102,6198,3457,9,15762,16300.0,Post-Disruption
172,2024-02-07,1,2,102,8656,2806,7,61008,22442.0,During-Disruption
173,2023-05-27,2,1,104,11835,4289,13,65344,30720.5,Pre-Disruption
174,2025-05-13,2,3,102,11925,4246,15,66178,31691.5,Post-Disruption
175,2024-05-03,2,1,101,11826,4315,15,26083,30642.0,During-Disruption
176,2025-07-17,3,1,103,6215,3191,8,59934,17329.5,Post-Disruption
177,2024-07-04,1,1,101,8689,2679,6,17626,22236.5,During-Disruption
178,2023-12-04,2,1,103,11870,4213,15,68145,30692.0,During-Disruption
179,2025-05-21,2,1,103,11911,4559,15,23621,30529.5,Post-Disruption
180,2024-10-02,1,1,104,8588,2804,6,45851,23078.0,During-Disruption
181,2024-04-17,1,4,103,8664,2717,7,59155,22889.0,During-Disruption
182,2023-05-31,2,1,103,11913,4192,15,39287,30444.5,Pre-Disruption
183,2023-09-20,3,3,101,6188,3514,8,55717,17230.0,Pre-Disruption
184,2023-05-24,2,1,103,11829,4433,14,29722,31177.5,Pre-Disruption
185,2023-12-12,3,2,102,6122,2973,8,61220,16578.0,During-Disruption
186,2024-09-15,2,1,102,11878,4073,12,17695,30784.0,During-Disruption
187,2025-10-13,1,4,103,8419,2824,6,67663,21948.5,Post-Disruption
188,2025-05-30,1,3,102,8641,2863,7,52235,22912.5,Post-Disruption
189,2023-01-02,1,1,104,8639,2462,6,80822,22244.5,Pre-Disruption
190,2025-06-15,1,3,102,8428,2285,4,27262,22544.0,Post-Disruption
191,2023-09-11,1,1,104,8644,2257,6,50930,23570.0,Pre-Disruption
192,2024-03-28,3,2,103,6219,3560,8,73576,17225.5,During-Disruption
193,2025-11-26,3,1,104,6131,3316,6,50362,15955.5,Post-Disruption
194,2025-10-11,1,1,104,8539,2480,5,20693,21965.5,Post-Disruption
195,2023-01-09,1,1,103,8557,2806,5,37679,23185.5,Pre-Disruption
196,2025-03-26,1,3,103,8459,2407,6,52440,22062.5,Post-Disruption
197,2023-07-27,2,1,104,11838,4142,13,25460,30929.0,Pre-Disruption
198,2024-02-08,1,3,101,8611,2612,5,61379,23060.5,During-Disruption
199,2023-06-01,1,2,103,8538,2794,7,38147,23278.0,Pre-Disruption
200,2023-02-23,4,1,103,1510,1651,4,15855,5521.0,Pre-Disruption
201,2024-09-19,3,3,101,6350,2916,9,53688,17216.0,During-Disruption
202,2024-08-09,1,3,102,8498,2618,4,71676,21922.0,During-Disruption
203,2023-04-14,2,4,101,11877,4423,13,57662,31392.5,Pre-Disruption
204,2023-09-11,1,2,102,8400,2400,6,28054,22043.0,Pre-Disruption
205,2024-05-24,3,3,101,6188,3317,6,68733,16546.0,During-Disruption
206,2023-04-09,2,3,104,11812,4441,13,65292,31079.0,Pre-Disruption
207,2023-06-02,1,1,103,8682,2701,6,37769,23425.0,Pre-Disruption
208,2025-07-02,3,1,101,6215,2981,6,32226,17470.5,Post-Disruption
209,2025-05-27,1,1,103,8431,2839,7,51604,22318.5,Post-Disruption
210,2023-12-04,1,1,102,8661,2279,6,76660,23240.5,During-Disruption
211,2025-04-01,1,1,104,8440,2388,7,73056,21995.0,Post-Disruption
212,2025-08-14,2,4,103,11866,4479,13,39802,31102.0,Post-Disruption
213,2023-06-10,1,1,101,8620,2355,6,66768,22232.0,Pre-Disruption
214,2025-03-11,1,3,101,8613,2359,7,82141,22295.5,Post-Disruption
215,2024-02-02,1,2,104,8530,2793,7,51599,21851.0,During-Disruption
216,2025-03-26,1,1,102,8447,2243,5,34016,22891.5,Post-Disruption
217,2024-02-05,3,1,104,6233,3061,7,40342,16589.5,During-Disruption
218,2024-10-01,1,2,104,8406,2860,5,28437,22217.0,During-Disruption
219,2025-11-22,1,3,103,8443,2835,5,78777,21734.5,Post-Disruption
220,2024-11-18,2,4,102,11785,4509,13,54410,31401.5,During-Disruption
221,2024-04-04,3,1,104,6147,3412,6,69743,16694.5,During-Disruption
222,2025-08-12,3,4,103,6339,3594,9,58844,16765.5,Post-Disruption
223,2024-04-14,2,1,103,11851,4207,13,72865,31570.5,During-Disruption
224,2025-11-11,1,2,102,8657,2296,7,30381,22965.5,Post-Disruption
225,2025-01-19,3,2,102,6143,2920,6,69155,17109.5,Post-Disruption
226,2023-02-07,2,1,103,11867,4354,14,22324,31059.5,Pre-Disruption
227,2023-08-18,1,1,102,8674,2704,7,41270,22728.0,Pre-Disruption
228,2024-07-16,4,1,103,1590,2003,4,23453,5577.0,During-Disruption
229,2024-03-13,1,1,102,8551,2422,7,62213,22665.5,During-Disruption
230,2023-01-27,4,3,102,1449,1999,3,57758,5201.5,Pre-Disruption
231,2023-08-14,3,1,102,6375,3361,6,56460,17297.5,Pre-Disruption
232,2025-03-08,2,2,101,11794,4559,15,55800,31062.0,Post-Disruption
233,2023-10-11,4,1,102,1641,1631,1,76277,6039.5,Pre-Disruption
234,2025-05-28,3,3,101,6204,3388,9,61432,17506.0,Post-Disruption
235,2025-08-17,1,3,103,8659,2487,7,72170,22348.5,Post-Disruption
236,2024-03-28,2,3,104,11837,4436,15,78575,30314.5,During-Disruption
237,2025-10-16,1,2,104,8582,2579,6,64732,23107.0,Post-Disruption
238,2025-03-26,1,1,104,8456,2636,4,36653,21969.0,Post-Disruption
239,2024-10-20,3,3,103,6339,3029,6,37293,17227.5,During-Disruption
240,2024-06-30,1,1,102,8504,2640,5,66344,23224.0,During-Disruption
241,2025-12-08,1,1,101,8464,2692,7,37366,22555.0,Post-Disruption
242,2023-01-17,2,1,103,11839,4244,14,75806,30224.5,Pre-Disruption
243,2023-06-07,3,2,104,6161,2951,9,34600,17066.5,Pre-Disruption
244,2024-04-21,1,2,104,8551,2429,4,21278,22346.5,During-Disruption
245,2025-12-05,1,2,104,8529,2664,4,16735,22403.5,Post-Disruption
246,2024-06-01,1,1,104,8525,2385,7,68095,21972.5,During-Disruption
247,2023-04-09,2,1,101,11911,4161,12,37202,31749.5,Pre-Disruption
248,2025-11-26,1,4,104,8561,2398,7,52928,22416.5,Post-Disruption
249,2023-10-07,2,2,101,11904,4400,15,54370,31672.0,Pre-Disruption
250,2024-05-11,1,1,104,8428,2671,5,56924,22451.0,During-Disruption
251,2023-10-29,1,2,103,8581,2655,6,47295,22475.5,Pre-Disruption
252,2023-06-30,4,1,101,1450,2144,3,66257,5437.0,Pre-Disruption
253,2024-08-29,1,1,101,8634,2612,4,62692,23135.0,During-Disruption
254,2024-11-30,2,1,103,11713,4530,12,44785,30150.5,During-Disruption
255,2025-09-19,1,1,104,8457,2320,5,73935,22678.5,Post-Disruption
256,2023-07-10,2,1,104,11836,4068,12,22655,31479.0,Pre-Disruption
257,2023-09-10,2,4,102,11827,4292,12,84580,30189.5,Pre-Disruption
258,2025-09-07,1,2,102,8436,2834,7,46264,22304.0,Post-Disruption
259,2025-07-16,1,1,101,8667,2609,5,17947,23444.5,Post-Disruption
260,2023-05-08,1,2,102,8484,2479,7,27507,22424.0,Pre-Disruption
261,2023-01-18,2,4,103,11909,4565,15,72057,30947.5,Pre-Disruption
262,2024-07-19,3,1,103,6238,3432,6,63306,17479.0,During-Disruption
263,2024-07-23,2,3,103,11726,4608,15,64136,31024.0,During-Disruption
264,2024-11-16,2,2,101,11932,4649,14,79199,30649.0,During-Disruption
265,2024-09-17,1,1,103,8570,2753,6,70048,23382.0,During-Disruption
266,2025-05-03,1,1,101,8577,2618,6,33193,22575.5,Post-Disruption
267,2025-08-19,1,1,101,8419,2227,5,77033,22190.5,Post-Disruption
268,2023-06-04,1,2,103,8663,2595,5,33087,23480.5,Pre-Disruption
269,2024-05-04,1,1,103,8596,2769,6,74457,22519.0,During-Disruption
270,2025-02-23,2,2,101,11763,4638,14,18093,30948.5,Post-Disruption
271,2023-09-03,2,2,103,11743,4427,15,73721,31356.5,Pre-Disruption
272,2025-11-28,4,1,102,1643,1743,2,28223,5636.5,Post-Disruption
273,2025-01-28,1,4,101,8411,2292,4,57337,22737.5,Post-Disruption
274,2024-06-21,2,4,104,11959,4034,12,62979,30439.5,During-Disruption
275,2025-07-09,3,1,101,6395,3503,7,34276,17760.5,Post-Disruption
276,2024-02-12,2,4,103,11956,4469,15,16967,31610.0,During-Disruption
277,2024-06-08,1,1,103,8634,2725,6,44732,23092.0,During-Disruption
278,2025-04-07,1,1,101,8646,2514,7,24099,23341.0,Post-Disruption
279,2025-06-21,1,1,101,8540,2683,7,18805,22626.0,Post-Disruption
280,2023-02-05,1,2,104,8580,2575,5,74102,22138.0,Pre-Disruption
281,2024-11-15,3,2,104,6252,3555,8,79860,16976.0,During-Disruption
282,2023-01-20,1,1,101,8443,2687,5,54265,22079.5,Pre-Disruption
283,2023-11-17,1,1,103,8508,2695,5,36065,22042.0,During-Disruption
284,2024-05-26,3,1,101,6197,3275,9,80095,16681.5,During-Disruption
285,2024-02-04,3,4,102,6326,3390,7,15202,17263.0,During-Disruption
286,2024-10-15,2,4,102,11780,4298,13,82467,31063.0,During-Disruption
287,2025-08-29,2,2,103,11917,4352,13,42132,30561.5,Post-Disruption
288,2024-04-15,1,2,101,8548,2553,5,77674,22420.0,During-Disruption
289,2025-04-13,1,2,101,8475,2680,7,53140,22830.5,Post-Disruption
290,2024-12-27,1,1,102,8479,2603,6,43453,22263.5,During-Disruption
291,2025-05-03,2,1,101,11751,4393,14,48945,31140.5,Post-Disruption
292,2023-02-20,4,2,103,1462,2002,4,55591,5443.0,Pre-Disruption
293,2024-07-28,1,2,103,8483,2690,4,80042,22921.5,During-Disruption
294,2023-05-30,2,1,104,11954,4523,13,34377,31691.0,Pre-Disruption
295,2023-11-10,1,4,103,8458,2593,7,77391,22319.0,During-Disruption
296,2024-07-23,2,3,101,11707,4582,12,82948,30625.5,During-Disruption
297,2023-11-01,1,1,101,8475,2895,4,40509,22150.5,During-Disruption
298,2024-11-12,1,2,102,8477,2303,5,67924,22519.5,During-Disruption
299,2025-04-17,3,4,102,6223,2910,9,69947,16854.5,Post-Disruption
300,2025-12-13,2,1,103,11711,4224,13,71660,30890.5,Post-Disruption
301,2025-09-29,2,2,104,11979,4316,12,56225,30805.5,Post-Disruption
302,2024-03-19,1,1,101,8444,2621,4,42606,21989.0,During-Disruption
303,2024-09-04,1,1,104,8452,2472,5,72003,21796.0,During-Disruption
304,2025-09-19,1,3,101,8580,2253,5,31891,22641.0,Post-Disruption
305,2023-09-21,3,1,103,6333,3072,7,78091,16947.5,Pre-Disruption
306,2025-12-12,4,1,103,1585,1846,3,32771,5031.5,Post-Disruption
307,2025-09-30,2,1,102,11992,4664,15,84565,31707.0,Post-Disruption
308,2023-01-05,1,1,104,8474,2817,7,66718,21810.0,Pre-Disruption
309,2025-02-12,3,1,102,6297,3058,9,23677,17730.5,Post-Disruption
310,2025-05-26,2,3,103,11778,4105,12,20485,30289.0,Post-Disruption
311,2025-09-18,2,1,104,11932,4294,15,74031,30998.0,Post-Disruption
312,2025-06-02,1,2,101,8567,2475,7,42626,22683.5,Post-Disruption
313,2023-02-16,3,2,102,6122,3484,6,79509,17254.0,Pre-Disruption
314,2025-05-16,2,1,103,11929,4042,12,26798,30861.5,Post-Disruption
315,2025-04-02,3,2,101,6234,3093,8,29590,16295.0,Post-Disruption
316,2025-07-24,3,2,103,6392,3540,6,52973,17480.0,Post-Disruption
317,2024-10-17,1,1,101,8437,2510,5,58875,21857.5,During-Disruption
318,2023-09-26,3,1,102,6331,3519,8,25420,17617.5,Pre-Disruption
319,2024-01-05,3,2,101,6267,3002,6,43525,17136.5,During-Disruption
320,2024-09-27,1,4,104,8684,2844,7,49964,22463.0,During-Disruption
321,2024-10-18,1,1,101,8502,2449,6,65513,22966.0,During-Disruption
322,2023-04-30,1,1,103,8544,2595,6,66813,21889.0,Pre-Disruption
323,2025-04-10,2,1,101,11942,4614,15,32446,31683.0,Post-Disruption
324,2025-12-17,1,1,102,8547,2495,7,80053,22833.5,Post-Disruption
325,2025-01-10,2,2,103,11852,4237,15,27842,31606.0,Post-Disruption
326,2023-04-27,1,1,103,8694,2819,5,16229,23022.0,Pre-Disruption
327,2025-03-01,3,1,103,6225,3548,8,46741,16760.5,Post-Disruption
328,2025-10-09,1,1,103,8591,2488,5,45751,22006.5,Post-Disruption
329,2025-12-17,1,1,104,8482,2736,5,16456,21865.0,Post-Disruption
330,2024-09-25,2,1,103,11720,4629,15,49302,31246.0,During-Disruption
331,2024-05-27,2,1,103,11987,4255,12,39878,30813.5,During-Disruption
332,2025-03-12,1,1,103,8683,2720,5,19582,23452.5,Post-Disruption
333,2024-07-13,1,3,102,8667,2318,4,61614,23378.5,During-Disruption
334,2024-05-02,1,4,102,8520,2318,4,39965,23248.0,During-Disruption
335,2025-06-15,3,1,103,6210,2990,9,38257,16989.0,Post-Disruption
336,2024-12-04,3,2,104,6178,3071,6,25973,17174.0,During-Disruption
337,2024-08-03,2,1,101,11784,4115,13,83095,31354.0,During-Disruption
338,2025-02-28,3,1,104,6179,3433,6,66783,16420.5,Post-Disruption
339,2025-05-10,3,1,103,6250,3248,7,17697,17540.0,Post-Disruption
340,2023-09-04,1,1,103,8643,2766,7,63337,22615.5,Pre-Disruption
341,2023-06-03,4,3,104,1617,2075,2,55680,4598.5,Pre-Disruption
342,2025-09-23,3,1,103,6114,3344,6,64654,16875.0,Post-Disruption
343,2024-11-27,1,1,101,8500,2307,5,62434,21777.0,During-Disruption
344,2025-12-28,1,3,102,8667,2788,4,60447,22820.5,Post-Disruption
345,2025-12-06,1,2,101,8434,2772,4,21594,21816.0,Post-Disruption
346,2025-10-05,1,1,101,8682,2321,7,56242,23335.0,Post-Disruption
347,2023-04-04,3,1,101,6224,3503,6,46084,17220.0,Pre-Disruption
348,2025-08-15,2,1,104,11923,4221,14,35143,31708.5,Post-Disruption
349,2025-10-08,3,1,104,6260,3358,7,65966,16808.0,Post-Disruption
350,2024-03-28,3,1,101,6112,3541,8,36415,17194.0,During-Disruption
351,2025-06-30,2,1,104,11864,4497,14,38178,31054.0,Post-Disruption
352,2023-08-06,2,2,103,11957,4369,13,18939,31082.5,Pre-Disruption
353,2024-04-18,1,2,102,8692,2320,7,56367,22305.0,During-Disruption
354,2024-03-07,1,3,104,8513,2400,5,57301,22236.5,During-Disruption
355,2023-12-07,2,1,104,11819,4160,15,73151,30391.5,During-Disruption
356,2024-07-04,1,1,101,8468,2417,4,44029,22259.0,During-Disruption
